ダウンロードした時刻：2015/06/29 13:07:43

,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山
年月日,平均気温(℃),平均気温(℃),平均気温(℃),最高気温(℃),最高気温(℃),最高気温(℃),最低気温(℃),最低気温(℃),最低気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),1時間降水量の最大(mm),1時間降水量の最大(mm),1時間降水量の最大(mm),1時間降水量の最大(mm),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡),最深積雪(cm),最深積雪(cm),最深積雪(cm),最深積雪(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),平均風速(m/s),平均風速(m/s),平均風速(m/s),最大風速(m/s),最大風速(m/s),最大風速(m/s),最大風速(m/s),最大風速(m/s),最大瞬間風速(m/s),最大瞬間風速(m/s),最大瞬間風速(m/s),最大瞬間風速(m/s),最大瞬間風速(m/s),最多風向(16方位),最多風向(16方位),最多風向(16方位),平均蒸気圧(hPa),平均蒸気圧(hPa),平均蒸気圧(hPa),平均湿度(％),平均湿度(％),平均湿度(％),最小相対湿度(％),最小相対湿度(％),最小相対湿度(％),平均現地気圧(hPa),平均現地気圧(hPa),平均現地気圧(hPa),平均海面気圧(hPa),平均海面気圧(hPa),平均海面気圧(hPa),最低海面気圧(hPa),最低海面気圧(hPa),最低海面気圧(hPa),最低海面気圧(hPa),平均雲量(10分比),平均雲量(10分比),平均雲量(10分比),天気概況(昼：06時〜18時),天気概況(昼：06時〜18時),天気概況(昼：06時〜18時),天気概況(夜：18時〜翌日06時),天気概況(夜：18時〜翌日06時),天気概況(夜：18時〜翌日06時)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,風向,風向,,,,風向,風向,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,均質番号,,品質情報,均質番号,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,均質番号,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,現象なし情報,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号
2007/1/1,4.2,8,1,6.5,8,1,-0.5,8,1,4.0,0,8,1,2.0,0,8,1,0,1,8,1,,0,1,0,1,8,1,0,1,8,1,2.7,8,1,4.9,8,南南西,8,1,10.1,8,南西,8,1,,0,1,6.5,8,1,77,8,1,33,8,1,893.3,8,1,,0,1,,,0,1,,0,1,,8,1,,8,1
2007/1/2,5.9,8,1,7.6,8,1,1.9,8,1,3.0,0,8,1,1.5,0,8,1,0,1,8,1,,0,1,0,1,8,1,0,1,8,1,2.4,8,1,5.4,8,東北東,8,1,8.1,8,東北東,8,1,,0,1,8.9,8,1,95,8,1,85,8,1,888.7,8,1,,0,1,,,0,1,,0,1,,8,1,,8,1
2007/1/3,2.6,8,1,4.9,8,1,0.0,8,1,0,1,8,1,0,1,8,1,1.1,0,8,1,,0,1,0,1,8,1,0,1,8,1,6.7,8,1,12.0,8,東北東,8,1,16.7,8,東北東,8,1,,0,1,6.0,8,1,82,8,1,56,8,1,888.8,8,1,,0,1,,,0,1,,0,1,,8,1,,8,1
2007/1/4,1.5,8,1,4.8,8,1,-0.5,8,1,0,1,8,1,0,1,8,1,2.0,0,8,1,,0,1,0,1,8,1,0,1,8,1,6.6,8,1,12.9,8,東北東,8,1,20.3,8,北東,8,1,,0,1,4.4,8,1,64,8,1,36,8,1,889.3,8,1,,0,1,,,0,1,,0,1,,8,1,,8,1
2007/1/5,2.5,8,1,5.5,8,1,-1.7,8,1,0,1,8,1,0,1,8,1,0.6,0,8,1,,0,1,0,1,8,1,0,1,8,1,3.5,8,1,7.5,8,南南東,8,1,12.3,8,南,8,1,,0,1,6.6,8,1,89,8,1,77,8,1,889.2,8,1,,0,1,,,0,1,,0,1,,8,1,,8,1
2007/1/6,-0.7,8,1,3.9,8,1,-6.9,8,1,12.0,0,8,1,4.0,0,8,1,0,1,8,1,,0,1,5,0,8,1,5,0,8,1,6.9,8,1,12.1,8,西北西,8,1,22.4,8,西,8,1,,0,1,5.4,8,1,91,8,1,59,8,1,881.2,8,1,,0,1,,,0,1,,0,1,,8,1,,8,1
2007/1/7,-4.4,8,1,-1.8,8,1,-7.0,8,1,1.0,0,8,1,1.0,0,8,1,0,1,8,1,,0,1,11,0,8,1,6,0,8,1,7.1,8,1,13.1,8,西北西,8,1,23.3,8,西北西,8,1,,0,1,4.2,8,1,94,8,1,92,8,1,882.4,8,1,,0,1,,,0,1,,0,1,,8,1,,8,1
