ダウンロードした時刻：2015/06/18 14:14:19

,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山
年月日時,気温(℃),気温(℃),気温(℃),風速(m/s),風速(m/s),風速(m/s),風速(m/s),風速(m/s),降水量(mm),降水量(mm),降水量(mm),降水量(mm),積雪(cm),積雪(cm),積雪(cm),積雪(cm),降雪(cm),降雪(cm),降雪(cm),降雪(cm),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),日射量(MJ/㎡),日射量(MJ/㎡),日射量(MJ/㎡),現地気圧(hPa),現地気圧(hPa),現地気圧(hPa),海面気圧(hPa),海面気圧(hPa),海面気圧(hPa),相対湿度(％),相対湿度(％),相対湿度(％),蒸気圧(hPa),蒸気圧(hPa),蒸気圧(hPa)
,,,,,,風向,風向,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号
2014/1/1 1:00:00,1.3,8,1,7.3,8,西南西,8,1,0,1,8,1,4,0,8,1,0,1,8,1,0,1,8,1,,0,1,882.0,8,1,,0,1,87,8,1,5.8,8,1
2014/1/1 2:00:00,1.4,8,1,6.5,8,南西,8,1,0,1,8,1,4,0,8,1,0,1,8,1,0,1,8,1,,0,1,882.1,8,1,,0,1,82,8,1,5.5,8,1
2014/1/1 3:00:00,1.6,8,1,6.4,8,西南西,8,1,0,1,8,1,4,0,8,1,0,1,8,1,0,1,8,1,,0,1,882.5,8,1,,0,1,82,8,1,5.6,8,1
2014/1/1 4:00:00,0.8,8,1,4.5,8,西,8,1,0,1,8,1,3,0,8,1,0,1,8,1,0,1,8,1,,0,1,882.5,8,1,,0,1,89,8,1,5.8,8,1
2014/1/1 5:00:00,0.2,8,1,2.6,8,西北西,8,1,0,1,8,1,4,0,8,1,1,0,8,1,0,1,8,1,,0,1,882.3,8,1,,0,1,89,8,1,5.5,8,1
2014/1/1 6:00:00,0.4,8,1,4.3,8,西北西,8,1,0,1,8,1,4,0,8,1,0,1,8,1,0,1,8,1,,0,1,882.7,8,1,,0,1,83,8,1,5.2,8,1
2014/1/1 7:00:00,0.1,8,1,4.5,8,西,8,1,0,1,8,1,4,0,8,1,0,1,8,1,0,1,8,1,,0,1,883.0,8,1,,0,1,90,8,1,5.5,8,1
2014/1/1 8:00:00,0.1,8,1,1.7,8,西北西,8,1,0,1,8,1,4,0,8,1,0,1,8,1,0.0,0,8,1,,0,1,883.4,8,1,,0,1,94,8,1,5.8,8,1
2014/1/1 9:00:00,0.1,8,1,3.7,8,西北西,8,1,0,1,8,1,3,0,8,1,0,1,8,1,0.0,0,8,1,,0,1,883.8,8,1,,0,1,95,8,1,5.8,8,1
2014/1/1 10:00:00,0.3,8,1,5.8,8,西北西,8,1,0,1,8,1,4,0,8,1,1,0,8,1,0.0,0,8,1,,0,1,884.3,8,1,,0,1,98,8,1,6.1,8,1
2014/1/1 11:00:00,0.6,8,1,6.6,8,西北西,8,1,0,1,8,1,3,0,8,1,0,1,8,1,0.0,0,8,1,,0,1,884.2,8,1,,0,1,92,8,1,5.9,8,1
2014/1/1 12:00:00,1.7,8,1,6.1,8,西,8,1,0,1,8,1,3,0,8,1,0,1,8,1,0.0,0,8,1,,0,1,883.7,8,1,,0,1,85,8,1,5.9,8,1
