ダウンロードした時刻：2015/06/29 11:40:37

,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山
年月日時,気温(℃),気温(℃),気温(℃),風速(m/s),風速(m/s),風速(m/s),風速(m/s),風速(m/s),降水量(mm),降水量(mm),降水量(mm),降水量(mm),積雪(cm),積雪(cm),積雪(cm),積雪(cm),降雪(cm),降雪(cm),降雪(cm),降雪(cm),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),日射量(MJ/㎡),日射量(MJ/㎡),日射量(MJ/㎡),現地気圧(hPa),現地気圧(hPa),現地気圧(hPa),海面気圧(hPa),海面気圧(hPa),海面気圧(hPa),相対湿度(％),相対湿度(％),相対湿度(％),蒸気圧(hPa),蒸気圧(hPa),蒸気圧(hPa)
,,,,,,風向,風向,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号
2005/4/1 1:00:00,4.3,8,1,3.1,8,北,8,1,0,1,8,1,0,1,8,1,0,1,8,1,,,0,1,,0,1,888.0,8,1,,0,1,,1,1,,1,1
2005/4/1 2:00:00,4.0,8,1,2.5,8,北,8,1,0,1,8,1,0,1,8,1,0,1,8,1,,,0,1,,0,1,888.0,8,1,,0,1,,1,1,,1,1
2005/4/1 3:00:00,4.4,8,1,2.5,8,北北東,8,1,0,1,8,1,0,1,8,1,0,1,8,1,,,0,1,,0,1,887.8,8,1,,0,1,,1,1,,1,1
2005/4/1 4:00:00,4.1,8,1,2.6,8,北北東,8,1,0,1,8,1,0,1,8,1,0,1,8,1,,,0,1,,0,1,888.0,8,1,,0,1,,1,1,,1,1
2005/4/1 5:00:00,4.1,8,1,2.4,8,北北東,8,1,0,1,8,1,0,1,8,1,0,1,8,1,,,0,1,,0,1,888.4,8,1,,0,1,,1,1,,1,1
2005/4/1 6:00:00,4.5,8,1,3.1,8,北北東,8,1,0,1,8,1,0,1,8,1,0,1,8,1,,,0,1,,0,1,888.6,8,1,,0,1,,1,1,,1,1
2005/4/1 7:00:00,4.9,8,1,2.2,8,北北東,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0.2,0,8,1,,0,1,889.2,8,1,,0,1,,1,1,,1,1
2005/4/1 8:00:00,7.8,8,1,0.6,8,北東,8,1,0,1,8,1,0,1,8,1,0,1,8,1,1.0,0,8,1,,0,1,889.9,8,1,,0,1,,1,1,,1,1
2005/4/1 9:00:00,9.3,8,1,0.8,8,西北西,8,1,0,1,8,1,0,1,8,1,0,1,8,1,1.0,0,8,1,,0,1,890.1,8,1,,0,1,,1,1,,1,1
2005/4/1 10:00:00,10.5,8,1,1.7,8,南西,8,1,0,1,8,1,0,1,8,1,0,1,8,1,1.0,0,8,1,,0,1,890.1,8,1,,0,1,,1,1,,1,1
2005/4/1 11:00:00,11.4,8,1,2.6,8,南,8,1,0,1,8,1,0,1,8,1,0,1,8,1,1.0,0,8,1,,0,1,890.0,8,1,,0,1,,1,1,,1,1
2005/4/1 12:00:00,13.9,8,1,3.6,8,西南西,8,1,0,1,8,1,0,1,8,1,0,1,8,1,1.0,0,8,1,,0,1,889.7,8,1,,0,1,,1,1,,1,1
2005/4/1 13:00:00,12.6,8,1,4.3,8,西,8,1,0,1,8,1,0,1,8,1,0,1,8,1,1.0,0,8,1,,0,1,889.3,8,1,,0,1,,1,1,,1,1
