ダウンロードした時刻：2015/06/12 11:52:58

,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山
年月日,平均気温(℃),平均気温(℃),平均気温(℃),最高気温(℃),最高気温(℃),最高気温(℃),最低気温(℃),最低気温(℃),最低気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),1時間降水量の最大(mm),1時間降水量の最大(mm),1時間降水量の最大(mm),1時間降水量の最大(mm),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡),最深積雪(cm),最深積雪(cm),最深積雪(cm),最深積雪(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),平均風速(m/s),平均風速(m/s),平均風速(m/s),最大風速(m/s),最大風速(m/s),最大風速(m/s),最大風速(m/s),最大風速(m/s),最大瞬間風速(m/s),最大瞬間風速(m/s),最大瞬間風速(m/s),最大瞬間風速(m/s),最大瞬間風速(m/s),最多風向(16方位),最多風向(16方位),最多風向(16方位),平均蒸気圧(hPa),平均蒸気圧(hPa),平均蒸気圧(hPa),平均湿度(％),平均湿度(％),平均湿度(％),最小相対湿度(％),最小相対湿度(％),最小相対湿度(％),平均現地気圧(hPa),平均現地気圧(hPa),平均現地気圧(hPa),平均海面気圧(hPa),平均海面気圧(hPa),平均海面気圧(hPa),最低海面気圧(hPa),最低海面気圧(hPa),最低海面気圧(hPa),最低海面気圧(hPa),平均雲量(10分比),平均雲量(10分比),平均雲量(10分比),天気概況(昼：06時〜18時),天気概況(昼：06時〜18時),天気概況(昼：06時〜18時),天気概況(夜：18時〜翌日06時),天気概況(夜：18時〜翌日06時),天気概況(夜：18時〜翌日06時)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,風向,風向,,,,風向,風向,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,均質番号,,品質情報,均質番号,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,均質番号,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,現象なし情報,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号
2011/1/1,-7.3,8,1,-3.5,8,1,-10.8,8,1,,,1,1,,,1,1,0.0,0,8,1,,0,1,48,0,8,1,28,0,8,1,6.5,8,1,11.1,8,西北西,8,1,16.9,8,西北西,8,1,西北西,8,1,3.4,8,1,95,8,1,93,8,1,879.4,8,1,,0,1,,,0,1,,0,1,,8,1,,8,1
2011/1/2,-3.0,8,1,-0.7,8,1,-5.2,8,1,0,1,4,1,0,1,4,1,4.3,0,8,1,,0,1,41,0,8,1,0,1,8,1,3.3,8,1,9.3,8,北北東,8,1,12.0,8,北,8,1,北北東,8,1,4.6,8,1,94,8,1,82,8,1,886.4,8,1,,0,1,,,0,1,,0,1,,8,1,,8,1
2011/1/3,-2.7,8,1,0.6,8,1,-5.1,8,1,1.5,0,8,1,1.0,0,8,1,3.6,0,8,1,,0,1,35,0,8,1,4,0,8,1,3.4,8,1,7.7,8,西,8,1,11.5,8,西,8,1,西,8,1,4.7,8,1,94,8,1,72,8,1,883.1,8,1,,0,1,,,0,1,,0,1,,8,1,,8,1
2011/1/4,-4.2,8,1,-2.9,8,1,-6.5,8,1,0.0,0,8,1,0.0,0,8,1,0.0,0,8,1,,0,1,36,0,8,1,4,0,8,1,5.9,8,1,9.5,8,西,8,1,13.6,8,西,8,1,西,8,1,4.4,8,1,98,8,1,97,8,1,883.5,8,1,,0,1,,,0,1,,0,1,,8,1,,8,1
2011/1/5,-2.9,8,1,-1.2,8,1,-5.8,8,1,0.0,0,8,1,0.0,0,8,1,0.0,0,8,1,,0,1,46,0,8,1,13,0,8,1,6.4,8,1,11.3,8,西南西,8,1,15.9,8,西南西,8,1,西,8,1,4.9,8,1,99,8,1,97,8,1,885.1,8,1,,0,1,,,0,1,,0,1,,8,1,,8,1
2011/1/6,-5.5,8,1,-3.6,8,1,-8.1,8,1,0.5,0,8,1,0.5,0,8,1,0.0,0,8,1,,0,1,50,0,8,1,5,0,8,1,5.6,8,1,8.1,8,北西,8,1,11.9,8,西,8,1,北西,8,1,4.0,8,1,97,8,1,95,8,1,884.7,8,1,,0,1,,,0,1,,0,1,,8,1,,8,1
2011/1/7,-6.6,8,1,-3.2,8,1,-10.0,8,1,0,1,8,1,0,1,8,1,2.2,0,4,1,,0,1,48,0,8,1,0,1,8,1,3.2,8,1,6.5,8,北西,8,1,9.4,8,北西,8,1,北西,8,1,3.4,8,1,91,8,1,61,8,1,887.3,8,1,,0,1,,,0,1,,0,1,,8,1,,8,1
