É_ÉEÉìÉçÅ[ÉhÇµÇΩéûçèÅF2015/06/12 11:53:37

,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR
îNåéì˙,ïΩãœãCâ∑(Åé),ïΩãœãCâ∑(Åé),ïΩãœãCâ∑(Åé),ç≈çÇãCâ∑(Åé),ç≈çÇãCâ∑(Åé),ç≈çÇãCâ∑(Åé),ç≈í·ãCâ∑(Åé),ç≈í·ãCâ∑(Åé),ç≈í·ãCâ∑(Åé),ç~êÖó ÇÃçáåv(mm),ç~êÖó ÇÃçáåv(mm),ç~êÖó ÇÃçáåv(mm),ç~êÖó ÇÃçáåv(mm),1éûä‘ç~êÖó ÇÃç≈ëÂ(mm),1éûä‘ç~êÖó ÇÃç≈ëÂ(mm),1éûä‘ç~êÖó ÇÃç≈ëÂ(mm),1éûä‘ç~êÖó ÇÃç≈ëÂ(mm),ì˙è∆éûä‘(éûä‘),ì˙è∆éûä‘(éûä‘),ì˙è∆éûä‘(éûä‘),ì˙è∆éûä‘(éûä‘),çáåvëSìVì˙éÀó (MJ/áu),çáåvëSìVì˙éÀó (MJ/áu),çáåvëSìVì˙éÀó (MJ/áu),ç≈ê[êœê·(cm),ç≈ê[êœê·(cm),ç≈ê[êœê·(cm),ç≈ê[êœê·(cm),ç~ê·ó çáåv(cm),ç~ê·ó çáåv(cm),ç~ê·ó çáåv(cm),ç~ê·ó çáåv(cm),ïΩãœïóë¨(m/s),ïΩãœïóë¨(m/s),ïΩãœïóë¨(m/s),ç≈ëÂïóë¨(m/s),ç≈ëÂïóë¨(m/s),ç≈ëÂïóë¨(m/s),ç≈ëÂïóë¨(m/s),ç≈ëÂïóë¨(m/s),ç≈ëÂèuä‘ïóë¨(m/s),ç≈ëÂèuä‘ïóë¨(m/s),ç≈ëÂèuä‘ïóë¨(m/s),ç≈ëÂèuä‘ïóë¨(m/s),ç≈ëÂèuä‘ïóë¨(m/s),ç≈ëΩïóå¸(16ï˚à ),ç≈ëΩïóå¸(16ï˚à ),ç≈ëΩïóå¸(16ï˚à ),ïΩãœèˆãCà≥(hPa),ïΩãœèˆãCà≥(hPa),ïΩãœèˆãCà≥(hPa),ïΩãœéºìx(Åì),ïΩãœéºìx(Åì),ïΩãœéºìx(Åì),ç≈è¨ëäëŒéºìx(Åì),ç≈è¨ëäëŒéºìx(Åì),ç≈è¨ëäëŒéºìx(Åì),ïΩãœåªínãCà≥(hPa),ïΩãœåªínãCà≥(hPa),ïΩãœåªínãCà≥(hPa),ïΩãœäCñ ãCà≥(hPa),ïΩãœäCñ ãCà≥(hPa),ïΩãœäCñ ãCà≥(hPa),ç≈í·äCñ ãCà≥(hPa),ç≈í·äCñ ãCà≥(hPa),ç≈í·äCñ ãCà≥(hPa),ç≈í·äCñ ãCà≥(hPa),ïΩãœâ_ó (10ï™î‰),ïΩãœâ_ó (10ï™î‰),ïΩãœâ_ó (10ï™î‰),ìVãCäTãµ(íãÅF06éûÅ`18éû),ìVãCäTãµ(íãÅF06éûÅ`18éû),ìVãCäTãµ(íãÅF06éûÅ`18éû),ìVãCäTãµ(ñÈÅF18éûÅ`óÇì˙06éû),ìVãCäTãµ(ñÈÅF18éûÅ`óÇì˙06éû),ìVãCäTãµ(ñÈÅF18éûÅ`óÇì˙06éû)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ïóå¸,ïóå¸,,,,ïóå¸,ïóå¸,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,ïiéøèÓïÒ,ãœéøî‘çÜ,,ïiéøèÓïÒ,ãœéøî‘çÜ,,ïiéøèÓïÒ,ãœéøî‘çÜ,,åªè€Ç»ÇµèÓïÒ,ïiéøèÓïÒ,ãœéøî‘çÜ,,åªè€Ç»ÇµèÓïÒ,ïiéøèÓïÒ,ãœéøî‘çÜ,,åªè€Ç»ÇµèÓïÒ,ïiéøèÓïÒ,ãœéøî‘çÜ,,ïiéøèÓïÒ,ãœéøî‘çÜ,,åªè€Ç»ÇµèÓïÒ,ïiéøèÓïÒ,ãœéøî‘çÜ,,åªè€Ç»ÇµèÓïÒ,ïiéøèÓïÒ,ãœéøî‘çÜ,,ïiéøèÓïÒ,ãœéøî‘çÜ,,ïiéøèÓïÒ,,ïiéøèÓïÒ,ãœéøî‘çÜ,,ïiéøèÓïÒ,,ïiéøèÓïÒ,ãœéøî‘çÜ,,ïiéøèÓïÒ,ãœéøî‘çÜ,,ïiéøèÓïÒ,ãœéøî‘çÜ,,ïiéøèÓïÒ,ãœéøî‘çÜ,,ïiéøèÓïÒ,ãœéøî‘çÜ,,ïiéøèÓïÒ,ãœéøî‘çÜ,,ïiéøèÓïÒ,ãœéøî‘çÜ,,åªè€Ç»ÇµèÓïÒ,ïiéøèÓïÒ,ãœéøî‘çÜ,,ïiéøèÓïÒ,ãœéøî‘çÜ,,ïiéøèÓïÒ,ãœéøî‘çÜ,,ïiéøèÓïÒ,ãœéøî‘çÜ
2014/1/1,0.5,8,1,2.9,8,1,-1.3,8,1,0,1,8,1,0,1,8,1,0.8,0,8,1,,0,1,4,0,8,1,5,0,8,1,5.6,8,1,8.2,8,êºñkêº,8,1,20.2,8,êº,8,1,êºñkêº,8,1,5.4,8,1,85,8,1,74,8,1,883.8,8,1,,0,1,,,0,1,,0,1,,8,1,,8,1
2014/1/2,1.0,8,1,4.1,8,1,-1.8,8,1,0,1,8,1,0,1,8,1,7.9,0,8,1,,0,1,4,0,8,1,2,0,8,1,4.0,8,1,7.1,8,êºñkêº,8,1,11.0,8,êº,8,1,êº,8,1,5.1,8,1,77,8,1,66,8,1,887.4,8,1,,0,1,,,0,1,,0,1,,8,1,,8,1
2014/1/3,2.8,8,1,4.5,4,1,0.1,4,1,0.0,0,8,1,0.0,0,5,1,0.0,0,4,1,,0,1,2,0,8,1,0,1,5,1,3.6,4,1,5.3,4,ìÏìÏêº],1,1,11.2,4,ìÏìÏêº],1,1,ìÏìÏêº,8,1,6.9,8,1,92,8,1,77,4,1,885.0,8,1,,0,1,,,1,1,,0,1,,8,1,,8,1
2014/1/4,1.3,8,1,4.9,8,1,-1.6,8,1,0.0,0,8,1,0.0,0,8,1,5.7,0,8,1,,0,1,0,1,8,1,0,1,8,1,3.7,8,1,7.1,8,ñkñkêº,8,1,9.9,8,ñkñkêº,8,1,ñkêº,8,1,5.7,8,1,85,8,1,66,8,1,882.6,8,1,,0,1,,,0,1,,0,1,,8,1,,8,1
2014/1/5,-0.2,8,1,2.8,8,1,-2.2,8,1,0.0,0,8,1,0.0,0,8,1,0.7,0,8,1,,0,1,0,1,8,1,0,1,8,1,3.2,8,1,8.0,8,ñkñkêº,8,1,12.6,8,ñkñkêº,8,1,êº,8,1,5.5,8,1,91,8,1,71,8,1,885.2,8,1,,0,1,,,0,1,,0,1,,8,1,,8,1
2014/1/6,-1.8,8,1,0.5,8,1,-3.9,8,1,0,1,8,1,0,1,8,1,1.8,0,8,1,,0,1,0,1,8,1,0,1,8,1,4.4,8,1,7.8,8,ñkñkìå,8,1,12.2,8,ñkñkêº,8,1,ñk,8,1,4.5,8,1,84,8,1,68,8,1,890.2,8,1,,0,1,,,0,1,,0,1,,8,1,,8,1
2014/1/7,2.4,8,1,7.6,8,1,-2.8,8,1,0.0,0,8,1,0.0,0,8,1,5.6,0,8,1,,0,1,0,1,8,1,0,1,8,1,3.6,8,1,7.4,8,ìÏêº,8,1,11.6,8,ìÏêº,8,1,ìÏ,8,1,5.7,8,1,77,8,1,56,8,1,891.1,8,1,,0,1,,,0,1,,0,1,,8,1,,8,1
2014/1/8,4.6,8,1,8.0,8,1,0.3,8,1,21.0,0,8,1,5.0,0,8,1,0.0,0,8,1,,0,1,0,1,8,1,0,1,8,1,4.7,8,1,8.5,8,ìÏ,8,1,17.9,8,ìÏìÏêº,8,1,ìÏ,8,1,8.2,8,1,96,8,1,82,8,1,882.7,8,1,,0,1,,,0,1,,0,1,,8,1,,8,1
2014/1/9,-4.4,8,1,0.4,8,1,-8.6,8,1,1.0,0,8,1,0.5,0,8,1,3.7,0,8,1,,0,1,0,1,8,1,0,1,8,1,6.8,8,1,9.7,8,ñkñkêº,8,1,14.6,8,êºñkêº,8,1,ñkêº,8,1,4.1,8,1,88,8,1,64,8,1,884.4,8,1,,0,1,,,0,1,,0,1,,8,1,,8,1
2014/1/10,-7.1,8,1,-3.6,8,1,-9.2,8,1,0.0,0,8,1,0.0,0,8,1,2.5,0,8,1,,0,1,1,0,8,1,1,0,8,1,5.2,8,1,7.8,8,ñkñkêº,8,1,11.5,8,ñkñkêº,8,1,ñkêº,8,1,3.1,8,1,85,8,1,71,8,1,891.6,8,1,,0,1,,,0,1,,0,1,,8,1,,8,1
2014/1/11,-3.0,8,1,0.3,8,1,-7.6,8,1,0.0,0,8,1,0.0,0,8,1,4.3,0,8,1,,0,1,0,1,8,1,0,1,8,1,4.3,8,1,7.7,8,ñkêº,8,1,12.2,8,ñkñkêº,8,1,ñkêº,8,1,3.9,8,1,78,8,1,50,8,1,893.8,8,1,,0,1,,,0,1,,0,1,,8,1,,8,1
2014/1/12,-3.1,8,1,0.3,8,1,-5.4,8,1,0,1,8,1,0,1,8,1,2.4,0,8,1,,0,1,0,1,8,1,0,1,8,1,4.6,8,1,7.4,8,ñkêº,8,1,11.1,8,êºìÏêº,8,1,êºñkêº,8,1,4.1,8,1,85,8,1,42,8,1,890.7,8,1,,0,1,,,0,1,,0,1,,8,1,,8,1
2014/1/13,-3.2,8,1,-0.3,8,1,-5.0,8,1,0,1,8,1,0,1,8,1,1.9,0,8,1,,0,1,0,1,8,1,0,1,8,1,4.4,8,1,7.6,8,ñkêº,8,1,10.9,8,ñkñkêº,8,1,ñk,8,1,3.9,8,1,82,8,1,68,8,1,890.3,8,1,,0,1,,,0,1,,0,1,,8,1,,8,1
2014/1/14,-3.2,8,1,0.4,8,1,-5.8,8,1,0,1,8,1,0,1,8,1,2.9,0,8,1,,0,1,0,1,8,1,0,1,8,1,3.4,8,1,5.2,8,ñkñkìå,8,1,7.2,8,ñkñkìå,8,1,ñkñkìå,8,1,3.9,8,1,81,8,1,63,8,1,891.0,8,1,,0,1,,,0,1,,0,1,,8,1,,8,1
2014/1/15,-4.1,8,1,-1.0,8,1,-5.7,8,1,0.0,0,8,1,0.0,0,8,1,2.7,0,8,1,,0,1,0,1,8,1,0,1,8,1,6.9,8,1,10.0,8,ñk,8,1,13.1,8,ñkñkìå,8,1,ñkñkìå,8,1,3.9,8,1,87,8,1,64,8,1,890.5,8,1,,0,1,,,0,1,,0,1,,8,1,,8,1
